NORAD ID,REFERENCE ALTITUDE EPOCH,REFERENCE ALTITUDE (KM),REFERENCE TLE 1,REFERENCE TLE 2,PREDICTION EPOCH,PREDICTION ALTITUDE (KM),LAST TLE LINE 1,LAST TLE LINE 2,ESTIMATED REENTRY EPOCH,ESTIMATED REENTRY ALTITUDE (KM),MIN DST
44285,2020-08-27 22:00:02+00:00,279,1 44285U 19029BC  20240.91668981  .01097837  59853-3  23187-2 0  9991,2 44285  52.9999 222.3311 0001153  83.6692 312.0352 15.98343683 71291,2020-09-07 05:00:02+00:00,96.57253125,1 44285U 19029Q   20261.00424152  .19360053  12310-4  20645-2 0  9990,2 44285  52.9930 116.6285 0009579 284.1140  76.3860 16.36583098 74541"}],2020-09-17 18:06:06+00:00,95.0491796875,-60.0
44269,2020-08-15 14:00:02+00:00,282,1 44269U 19029AL  20228.58335648  .01141796  64040-3  25928-2 0  9996,2 44269  53.0017 279.3772 0001738  44.7921 342.5508 15.97046524 68381,2020-08-25 17:00:02+00:00,99.7152109375,1 44269U 19029AL  20261.71767100  .31887751  12393-4  21419-2 0  9997,2 44269  52.9866 106.0720 0007388 275.6248  88.0407 16.40563533 73710"}],2020-09-18 04:13:27+00:00,97.748015625,-39.0
44253,2020-08-16 22:00:01+00:00,280,1 44253U 19029U   20229.91667824  .00829860  33096-3  16322-2 0  9990,2 44253  53.0053 273.2126 0002255  21.6635  98.4259 15.99548024 68543,2020-08-30 07:00:01+00:00,99.577046875,1 44253U 19029U   20261.06312664  .02181884  12221-4  28261-3 0  9994,2 44253  52.9927 108.7029 0010403 283.3728 218.5631 16.34792538 73578"}],2020-09-23 17:30:54+00:00,98.168125,-39.0
44245,2020-08-19 06:00:01+00:00,280,1 44245U 19029L   20232.25001157  .00832981  35526-3  12961-2 0  9996,2 44245  52.9968 261.4723 0001030 100.6988 142.5850 16.03568247 68912,2020-08-31 23:00:01+00:00,99.0586796875,1 44245U 19029L   20265.98160791  .42404756  12556-4  15608-2 0  9993,2 44245  52.9946  83.3643 0007552 318.6301 170.8492 16.43709335 74366"}],2020-09-22 05:33:31+00:00,98.502453125,-39.0
45363,2020-09-09 14:57:19+00:00,280,1 45363U 20019D   20253.62313372  .00372675  68560-4  78978-3 0  9993,2 45363  52.9829 102.5370 0008349 267.1956  92.8116 15.98182799 28259,2020-10-09 22:57:19+00:00,96.696203125,1 45363U 20019D   20269.17984688  .12645809  12369-4  14683-2 0  9997,2 45363  52.9669  21.1686 0008084 329.3945  96.5453 16.35871284 30751"}],2020-09-26 08:18:59+00:00,93.903421875,-60.0
44294,2020-08-28 06:00:01+00:00,280,1 44294U 19029BM  20241.25001157  .00917150  41227-3  17738-2 0  9994,2 44294  52.9961 217.6043 0001063  74.0478 129.5075 15.99861586 71386,2020-09-09 07:00:01+00:00,98.586421875,1 44294U 19029BM  20269.92738068  .15779032  12283-4  17204-2 0  9996,2 44294  52.9797  67.4343 0003802 280.7809  81.1246 16.36544709 76008"}],2020-09-26 20:15:26+00:00,99.6118828125,-60.0
44241,2020-08-15 14:00:02+00:00,280,1 44241U 19029G   20228.58335648  .00829167  31937-3  18544-2 0  9995,2 44241  53.0079 280.1372 0001875  33.1032 342.1068 15.97256843 68353,2020-08-29 11:00:02+00:00,96.226828125,1 44241U 19029G   20269.99889552  .27533098  12522-4  90269-3 0  9992,2 44241  52.9952  62.9276 0005013 292.5876  67.3813 16.44528987 75025"}],2020-09-26 10:58:25+00:00,96.1057109375,-39.0
44284,2020-08-17 06:00:01+00:00,279,1 44284U 19029BB  20230.25001157  .00830163  33410-3  15806-2 0  9998,2 44284  52.9991 270.9100 0001522  40.4601  68.6825 16.00120195 68614,2020-08-30 13:00:01+00:00,97.7543203125,1 44284U 19029BB  20271.80085332  .18352570  12342-4  18995-2 0  9995,2 44284  52.9805  52.5060 0006216 304.8100  55.7759 16.36958608 75318"}],2020-09-28 13:13:14+00:00,98.9758984375,-39.0
44293,2020-08-15 14:00:02+00:00,281,1 44293U 19029BL  20228.58335648  .00829210  31942-3  18544-2 0  9997,2 44293  53.0054 280.1660 0001656  40.8906 328.6967 15.97258485 69414,2020-08-29 11:00:02+00:00,96.4514453125,1 44293U 19029BL  20272.77440637  .11359350  12115-4  24534-2 0  9995,2 44293  52.9971  48.1405 0002076 323.1313  37.5805 16.29892189 76534"}],2020-09-30 07:35:09+00:00,97.401828125,-39.0
44262,2020-08-15 14:00:02+00:00,281,1 44262U 19029AD  20228.58335648  .01135067  63198-3  25764-2 0  9994,2 44262  53.0085 280.1446 0001886  42.8870 338.4673 15.97052124 68361,2020-08-25 20:00:02+00:00,95.9163828125,1 44262U 19029AD  20271.84208664  .07478847  11984-4  27635-2 0  9996,2 44262  53.0037  53.0192 0008965 308.6530  51.7564 16.23728101 75338"}],2020-09-30 17:12:36+00:00,92.241703125,-39.0
44235,2020-08-25 22:00:02+00:00,280,1 44235U 19029A   20238.91668981  .00090313  14492-4  21557-3 0  9995,2 44235  52.9882 226.7022 0009042 313.9591  43.2713 15.96536706 71119,2020-12-27 08:00:02+00:00,99.499421875,1 44235U 19029A   20275.31341942  .09808971  12623-4  18159-3 0  9999,2 44235  52.9736  36.3928 0009041 295.9879 160.3065 16.46847225 76971"}],2020-10-02 05:31:19+00:00,99.095953125,-60.0
44291,2020-09-12 23:47:34+00:00,280,1 44291U 19029BJ  20256.99137136  .00289157  45202-4  62247-3 0  9998,2 44291  53.0108 139.2727 0007688 279.9462  80.0699 15.97956450 73887,2020-10-21 21:47:34+00:00,99.357765625,1 44291U 19029BJ  20275.76915439  .07872336  12068-4  24339-2 0  9991,2 44291  53.0065  41.1244 0010194 318.4349  41.5915 16.25778259 76891"}],2020-10-04 05:27:35+00:00,94.5576015625,-60.0
44288,2020-08-15 22:00:01+00:00,281,1 44288U 19029BF  20228.91667824  .00829287  32215-3  17968-2 0  9999,2 44288  53.0096 278.5206 0001675  33.8933 123.4184 15.97829472 69472,2020-08-29 14:00:01+00:00,99.347328125,1 44288U 19029BF  20277.15107386  .15802477  12401-4  19591-2 0  9999,2 44288  53.0185  25.7052 0011290  24.5528 336.4797 16.35147155 77247"}],2020-10-04 03:37:33+00:00,90.635234375,-39.0
44292,2020-09-24 14:00:01+00:00,280,1 44292U 19029BK  20268.58334491 +.01098207 +66387-3 +16318-2 0  9998,2 44292 053.0099 082.1710 0001078 081.8667 201.1540 16.04398648001890,2020-10-04 02:00:01+00:00,98.6804765625,1 44292U 19029BK  20278.50794224  .31824522  12439-4  18149-2 0  9999,2 44292  53.0143  29.8577 0004030  69.3330 291.2958 16.41939938 77304"}],2020-10-04 22:11:26+00:00,97.536203125,-60.0
44265,2020-09-12 22:00:01+00:00,281,1 44265U 19029AG  20256.91667824  .00957989  44116-3  20459-2 0  9998,2 44265  52.9956 133.3867 0001384 123.0147 236.4294 15.98110741 72897,2020-09-24 20:00:01+00:00,98.2574921875,1 44265U 19029AG  20287.67823757  .29311092  12381-4  20466-2 0  9992,2 44265  52.9803 332.3076 0000578 316.8106  43.5401 16.40378467 77859"}],2020-10-14 03:16:40+00:00,99.930484375,-60.0
44259,2020-08-16 02:42:53+00:00,280,1 44259U 19029AA  20229.11311337  .00123257  17426-4  26657-3 0  9993,2 44259  52.9995 173.4180 0001026 114.2930 245.8205 15.98213810 69760,2020-11-13 22:42:53+00:00,98.3731953125,1 44259U 19029AA  20287.72482728  .08958567  12115-4  14109-2 0  9993,2 44259  52.9866 227.4445 0006539 235.7240 124.3359 16.33038265 79185"}],2020-10-15 13:23:45+00:00,99.333734375,-39.0
